name,years_of_exp,city,language,cost_per_hr
Dr. Priya Sharma,15,Mumbai,English/Hindi,1000
Dr. Rajesh Patel,12,Delhi,English/Hindi,900
Dr. Neha Singh,10,Bangalore,English/Kannada,950
Dr. Ananya Das,8,Kolkata,English/Bengali,850
Dr. Vivek Gupta,20,Chennai,English/Tamil,1100
Dr. Ayesha Khan,18,Hyderabad,English/Telugu,1050
Dr. Rahul Mehta,14,Pune,English/Marathi,950
Dr. Sunita Verma,11,Jaipur,English/Hindi,900
Dr. Arjun Reddy,9,Visakhapatnam,English/Telugu,850
Dr. Priyanka Mishra,16,Ahmedabad,English/Gujarati,1000
Dr. Ravi Kumar,13,Lucknow,English/Hindi,900
Dr. Anjali Jain,7,Kanpur,English/Hindi,850
Dr. Vikram Singh,5,Patna,English/Hindi,800
Dr. Meera Gupta,19,Gurgaon,English/Hindi,1100
Dr. Rohit Sharma,17,Noida,English/Hindi,1000
Dr. Pooja Tiwari,15,Faridabad,English/Hindi,950
Dr. Akash Singh,12,Indore,English/Hindi,900
Dr. Deepika Mishra,10,Chandigarh,English/Hindi,950
Dr. Sanjay Verma,8,Agra,English/Hindi,850
Dr. Tanvi Reddy,20,Coimbatore,English/Tamil,1000
Dr. Rahul Singh,18,Patna,English/Hindi,1050
Dr. Sonali Gupta,14,Pune,English/Marathi,950
Dr. Kartik Sharma,11,Ghaziabad,English/Hindi,900
Dr. Nisha Patel,9,Lucknow,English/Hindi,850
Dr. Ankit Singh,16,Bhopal,English/Hindi,1000
Dr. Maya Verma,13,Indore,English/Hindi,950
Dr. Mohit Sharma,7,Ludhiana,English/Punjabi,900
Dr. Kavita Singh,5,Kanpur,English/Hindi,850
Dr. Rajat Verma,19,Thane,English/Hindi,1100
Dr. Anjali Kapoor,17,Varanasi,English/Hindi,1000
Dr. Alok Srivastava,15,Rajkot,English/Gujarati,950
Dr. Preeti Sharma,12,Nagpur,English/Marathi,900
Dr. Akash Gupta,10,Vadodara,English/Gujarati,950
Dr. Priya Singh,8,Patna,English/Hindi,850
Dr. Vikas Verma,20,Faridabad,English/Hindi,1000
Dr. Rashmi Singh,18,Kolkata,English/Bengali,1050
Dr. Anil Kumar,14,Chennai,English/Tamil,950
Dr. Nidhi Sharma,11,Delhi,English/Hindi,900
Dr. Rohan Patel,9,Hyderabad,English/Telugu,850
Dr. Sushil Singh,16,Nashik,English/Marathi,1000
Dr. Jyoti Verma,13,Meerut,English/Hindi,950
Dr. Aarti Singh,7,Dehradun,English/Hindi,900
Dr. Karan Sharma,5,Allahabad,English/Hindi,850
Dr. Ritu Gupta,19,Jabalpur,English/Hindi,1100
Dr. Anand Verma,17,Amritsar,English/Punjabi,1000
Dr. Ayesha Khan,15,Ranchi,English/Hindi,950
Dr. Rohit Gupta,12,Guwahati,English/Assamese,900
Dr. Manisha Singh,10,Madurai,English/Tamil,950
Dr. Vikrant Patel,8,Gwalior,English/Hindi,850
Dr. Rashi Sharma,20,Vijayawada,English/Telugu,1000
Dr. Sameer Verma,18,Rajkot,English/Hindi,1050
Dr. Neha Patel,14,Jodhpur,English/Hindi,950
Dr. Anuj Singh,11,Kota,English/Hindi,900
Dr. Smita Gupta,9,Hisar,English/Hindi,850
Dr. Rohan Verma,16,Asansol,English/Bengali,1000
Dr. Anu Sharma,13,Dhanbad,English/Hindi,950
Dr. Anil Yadav,7,Hubli,English/Kannada,900
Dr. Shivani Singh,5,Bhilai,English/Hindi,850
Dr. Mayank Verma,19,Ujjain,English/Hindi,1100
Dr. Naina Patel,17,Belgaum,English/Kannada,1000
Dr. Arnav Sharma,15,Kollam,English/Malayalam,950
Dr. Kiran Verma,12,Kurnool,English/Telugu,900
Dr. Priyanka Singh,10,Shimla,English/Hindi,950
Dr. Abhishek Patel,8,Agartala,English/Bengali,850
Dr. Shruti Gupta,20,Durgapur,English/Bengali,1000
Dr. Vishal Verma,18,Mathura,English/Hindi,1050
Dr. Anu Singh,14,Tirunelveli,English/Tamil,950
Dr. Rajesh Kumar,11,Kochi,English/Malayalam,900
Dr. Maya Sharma,9,Trivandrum,English/Malayalam,850
Dr. Rahul Verma,7,Warangal,English/Telugu,1000
Dr. Manju Patel,5,Nellore,English/Telugu,950
Dr. Rohit Singh,19,Saharanpur,English/Hindi,1100
Dr. Anjali Verma,17,Aligarh,English/Hindi,1000
Dr. Karthik Reddy,15,Kozhikode,English/Malayalam,950
Dr. Kavita Singh,12,Gulbarga,English/Kannada,900
Dr. Ankit Verma,10,Jammu,English/Hindi,950
Dr. Neha Sharma,8,Moradabad,English/Hindi,850
Dr. Anand Patel,20,Rourkela,English/Odia,1000
Dr. Sonal Verma,18,Mangalore,English/Kannada,1050
Dr. Arjun Singh,14,Ajmer,English/Hindi,950
